"Lemma","Freq"
"käyttää",201
"napsauttaa",195
"tietokone",180
"näyttö",128
"hiiri",126
"tiedosto",125
"laite",114
"verkko",94
"sovellus",76
"tulostin",71
"avata",70
"asetus",69
"langaton",66
"yhteys",65
"ikkuna",64
"kuvake",62
"valikkopalkki",61
"painike",55
"poistaa",48
"järjestelmäasetus",47
"profiili",42
"akku",37
"kytkeä",36
"ohjelma",36
"salasana",32
"asentaa",30
"tulostaa",29
"kansio",28
"kone",28
"tallentaa",27
"tapa",27
"kosketuslevy",25
"käynnistin",23
"näppäimistö",23
"asiakirja",21
"kirjautua",21
"ominaisuus",20
"tila",20
"lepotila",19
"tili",19
"valmiustila",18
"käynnistää",17
"osoitin",17
"painallus",17
"suorittaa",17
"näppäin",16
"oletus",16
"äänikortti",15
"lukita",15
"säätää",15
"tiedostohallinta",15
"tunnistaa",15
"järjestelmä",14
"osoittaa",14
"työpöytä",14
"valikko",14
"välilehti",14
"varmuuskopio",14
"ajuri",13
"kopioida",13
"oikeus",13
"piilotiedosto",13
"pudotusvalikko",13
"toiminto",13
"verkkoyhteys",13
"kaiutin",12
"kalibrointi",12
"mahdollistaa",12
"musiikkisoitin",12
"muste",12
"simuloida",12
"virta",12
"internetyhteys",11
"mikrofoni",11
"palauttaa",11
"verkkotili",11
"vierityspalkki",11
"käyttöoikeus",10
"keskipainike",10
"komento",10
"kuuloke",10
"kuvakaappaus",10
"lukitus",10
"syöttää",10
"tukiasema",10
"valmistaja",10
"väriavaruus",10
"väriprofiili",10
"äänenvoimakkuus",9
"kotikansio",9
"napsautus",9
"ääniasetus",8
"hakutulos",8
"käynnistyä",8
"kirjanmerkki",8
"numeronäppäimistö",8
"reititin",8
"spektrometri",8
"taustakuva",8
"verkkokortti",8
"verkkopalvelu",8
"yläkulma",8
"ylläpitäjä",8
"kalenteri",7
"kalibroida",7
"kortinlukija",7
"liitin",7
"näkymä",7
"selata",7
"työtila",7
"vierasistunto",7
"viive",7
"aluekoodi",6
"Bluetooth",6
"DVD-levy",6
"järjestelmävalikko",6
"kirkkaus",6
"leikepöytä",6
"napauttaa",6
"näppäinyhdistelmä",6
"osoitinlaite",6
"tulostustyö",6
"ulkoinen kovalevy",6
"värienhallinta",6
"virhe",6
"virrankulutus",6
"VPN-yhteys",6
"asiakirjamalli",5
"himmentää",5
"kaksoisnapsautus",5
"katkaista",5
"koodekki",5
"lähiverkko",5
"liitäntä",5
"liukusäädin",5
"ohjekirja",5
"ohjelmisto",5
"käyttökärjestelmä",5
"ohjelmistopaketti",5
"salausavain",5
"sivupalkki",5
"tulostusikkuna",5
"USB-portti",5
"väriaine",5
"verkkolaite",5
"vierittää",5
"virranhallinta",5
"yhteyspiste",5
"DVD-asema",4
"esikatselu",4
"esitysmuoto",4
"ikkunanhallinta",4
"työpöytäilmoitus",4
"kakkospainike",4
"käyttöikä",4
"kieliasetus",4
"kuvasuhde",4
"kytkin",4
"ladata",4
"MAC-osoite",4
"merkkikartta",4
"pikanäppäin",4
"tiedostomuoto",4
"tiedostonimi",4
"verkkoasetus",4
"verkkosovitin",4
"akkukäyttö",3
"IP-osoite",3
"istunto",3
"jumittua",3
"kantomatka",3
"käytäntö",3
"käyttöaika",3
"käyttöohje",3
"komentorivi",3
"kuulokemikrofoni",3
"määritys",3
"mustekasetti",3
"muuntaa",3
"muuttuja",3
"nuolinäppäin",3
"optinen",3
"paikallinen",3
"paperityyppi",3
"purkuohjelmisto",3
"salaus",3
"salauksenpurkuohjelmisto",3
"salaustapa",3
"salaustekniikka",3
"salaustyyppi",3
"sammua",3
"simulointi",3
"sisäänkirjautuminen",3
"taajuusalue",3
"tekstisyöte",3
"tuloste",3
"tulostinpää",3
"tunnettu",3
"tunnistetieto",3
"yhteydenmuodostus",3
"yläreuna",3
"ylläpitotili",3
"äänilaite",2
"aikavyöhyke",2
"aktivoida",2
"alakulma",2
"alareuna",2
"alikansio",2
"asiakirjapohja",2
"bitti",2
"DHCP-palvelin",2
"enimmäiskoko",2
"esteettömyysasetus",2
"hakukenttä",2
"ikkunanvaihtaja",2
"kaksipuoleinen",2
"kaksiulotteinen",2
"kaksoisnapsauttaa",2
"Kaksoisnapsautus",2
"käyttäjätili",2
"käyttäjätunnus",2
"käyttöliittymä",2
"käyttöönotto",2
"kiintolevy",2
"kirjautumisruutu",2
"kopiointisuojaus",2
"kotikone",2
"kuvanlukija",2
"kuvatiedosto",2
"laitevalmistaja",2
"liukuväri",2
"modeemi",2
"muistikortti",2
"näppäinasettelu",2
"näyttölaite",2
"oletusprofiili",2
"oletustulostin",2
"otsake",2
"otsikkopalkki",2
"piilokansio",2
"pikaviesti",2
"PIN-koodi",2
"taustaväri",2
"tiedonsiirto",2
"tiedostoselain",2
"tietoturva",2
"ulkoasu",2
"ulostulo",2
"uudelleenkäynnistys",2
"valintaruutu",2
"verkkokauppa",2
"virtajohto",2
"A3-asiakirja",1
"Alt-näppäin",1
"asetustiedosto",1
"DRM-suojaus",1
"Dvorak-asettelu",1
"e-kirjanlukija",1
"energiankulutus",1
"erikoismerkki",1
"ethernet-kaapeli",1
"tekstimuokkain",1
"Google-tili",1
"helppokäyttöinen",1
"ikkunaluettelo",1
"IP-osoite",1
"IPv6-standardi",1
"järjestelmäkohtainen",1
"järjestelmänlaajuinen",1
"kielituki",1
"kopiointisuojaus",1
"laajakuvanäyttö",1
"LED-näyttö",1
"lentokonetila",1
"levynkäyttö",1
"maahantuoja",1
"mobiililaajakaista",1
"mobiiliyhteys",1
"monikanavaääni",1
"MP3-soitin",1
"muistikortinlukija",1
"mustesuihkutulostin",1
"näppäimistöasettelu",1
"ohjelmistopäivitys",1
"oikeanpuolimmainen",1
"pöytäkone",1
"pyyhkäisy",1
"RAM-muisti",1
"RAW-kuva",1
"rekisteröityminen",1
"resoluutio",1
"roskakori",1
"super-näppäin",1
"tehovaatimus",1
"tekstikenttä",1
"tekstinkäsittelyohjelma",1
"tekstitiedosto",1
"tiedostopääte",1
"tiedostonsiirto",1
"tiedostotyyppi",1
"tulostinajuri",1
"tulostinvalmistaja",1
"tulostusjono",1
"varmuuskopioida",1
"verkkosivu",1
